ftp_status,explanation,dm
100 Series,"The requested action is being initiated, expect another reply before proceeding with a new command.",
110,"Restart marker replay . In this case, the text is exact and not left to the particular implementation; it must read: MARK yyyy = mmmm where yyyy is User-process data stream marker, and mmmm server's equivalent marker (note the spaces between markers and ""="").",endpoint
120,Service ready in nnn minutes.,endpoint
125,Data connection already open; transfer starting.,session
150,File status okay; about to open data connection.,endpoint
200 Series,The requested action has been successfully completed.,
202,"Command not implemented, superfluous at this site.",change
211,"System status, or system help reply.",endpoint
212,Directory status.,endpoint
213,File status.,endpoint
214,Help message. Explains how to use the server or the meaning of a particular non-standard command. This reply is useful only to the human user.,
215,NAME system type. Where NAME is an official system name from the registry kept by IANA.,
220,Service ready for new user.,session
221,Service closing control connection.,session
225,Data connection open; no transfer in progress.,session
226,"Closing data connection. Requested file action successful (for example, file transfer or file abort).",endpoint
227,"Entering Passive Mode (h1,h2,h3,h4,p1,p2).",session
228,"Entering Long Passive Mode (long address, port).",session
229,Entering Extended Passive Mode (|||port|).,session
230,"User logged in, proceed. Logged out if appropriate.",authentication
231,User logged out; service terminated.,authentication
232,"Logout command noted, will complete when transfer done.",authentication
234,"Specifies that the server accepts the authentication mechanism specified by the client, and the exchange of security data is complete. A higher level nonstandard code created by Microsoft.",authentication
250,"Requested file action okay, completed.",change
257,"""PATHNAME"" created.",change
300 Series,"The command has been accepted, but the requested action is on hold, pending receipt of further information.",
331,"User name okay, need password.",authentication
332,Need account for login.,authentication
350,Requested file action pending further information,change
400 Series,"The command was not accepted and the requested action did not take place, but the error condition is temporary and the action may be requested again.",
421,"Service not available, closing control connection. This may be a reply to any command if the service knows it must shut down.",session
425,Can't open data connection.,endpoint
426,Connection closed; transfer aborted.,endpoint
430,Invalid username or password,authentication
434,Requested host unavailable.,session
450,Requested file action not taken.,change
451,Requested action aborted. Local error in processing.,change
452,"Requested action not taken. Insufficient storage space in system.File unavailable (e.g., file busy).",
500 Series,"Syntax error, command unrecognized and the requested action did not take place. This may include errors such as command line too long.",
500,"Syntax error, command unrecognized, command line too long",change
501,Syntax error in parameters or arguments.,change
502,Command not implemented.,change
503,Bad sequence of commands.,change
504,Command not implemented for that parameter.,change
530,Not logged in.,authentication
532,Need account for storing files.,authentication
534,Could Not Connect to Server - Policy Requires SSL,session
550,"Requested action not taken. File unavailable (e.g., file not found, no access).",
551,Requested action aborted. Page type unknown.,change
552,Requested file action aborted. Exceeded storage allocation (for current directory or dataset).,change
553,Requested action not taken. File name not allowed.,change
600 Series,Replies regarding confidentiality and integrity,
631,Integrity protected reply.,
632,Confidentiality and integrity protected reply.,
633,Confidentiality protected reply.,
10000 Series,Common Winsock Error Codes[2] (These are not FTP return codes),
10054,Connection reset by peer. The connection was forcibly closed by the remote host.,session
10060,Cannot connect to remote server.,session
10061,Cannot connect to remote server. The connection is actively refused by the server.,session
10066,Directory not empty.,change
10068,"Too many users, server is full.",authentication
